登録番号,更新日,1コース_進入率,1コース_1着率,1コース_2着率,1コース_3着率,1コース_平均ST,1コース_ST順,2コース_進入率,2コース_1着率,2コース_2着率,2コース_3着率,2コース_平均ST,2コース_ST順,3コース_進入率,3コース_1着率,3コース_2着率,3コース_3着率,3コース_平均ST,3コース_ST順,4コース_進入率,4コース_1着率,4コース_2着率,4コース_3着率,4コース_平均ST,4コース_ST順,5コース_進入率,5コース_1着率,5コース_2着率,5コース_3着率,5コース_平均ST,5コース_ST順,6コース_進入率,6コース_1着率,6コース_2着率,6コース_3着率,6コース_平均ST,6コース_ST順
3621,2026-06-21,18.5,59.1,18.2,9.1,0.18,2.5,12.6,33.3,26.7,0.0,0.2,4.1,18.5,4.5,13.6,31.8,0.19,3.7,17.6,4.8,28.6,23.8,0.15,3.0,14.3,5.9,11.8,0.0,0.14,2.7,18.5,4.5,13.6,0.0,0.2,5.1
3623,2026-06-21,27.9,73.5,14.7,5.9,0.13,2.7,61.5,18.7,38.7,10.7,0.14,2.7,10.7,30.8,46.2,23.1,0.14,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3627,2026-06-21,18.9,40.0,40.0,12.0,0.17,3.2,18.9,4.0,32.0,20.0,0.2,3.9,21.2,7.1,28.6,25.0,0.16,3.6,24.2,12.5,18.8,25.0,0.18,3.3,9.8,7.7,15.4,23.1,0.19,3.5,6.8,0.0,0.0,0.0,0.22,4.4
3630,2026-06-21,17.0,25.0,37.5,0.0,0.16,3.1,14.9,14.3,0.0,0.0,0.16,3.4,17.0,37.5,0.0,0.0,0.18,3.6,14.9,0.0,0.0,0.0,0.16,2.4,17.0,12.5,0.0,0.0,0.2,4.4,19.1,0.0,0.0,0.0,0.17,2.2
3631,2026-06-21,12.1,37.5,37.5,0.0,0.16,4.0,18.2,8.3,8.3,0.0,0.16,4.1,13.6,33.3,0.0,0.0,0.11,2.4,16.7,18.2,9.1,0.0,0.15,3.6,21.2,21.4,0.0,0.0,0.14,3.1,18.2,8.3,8.3,0.0,0.16,3.2
3637,2026-06-21,15.0,18.8,25.0,25.0,0.17,3.1,15.9,11.8,11.8,17.6,0.19,4.4,20.6,4.5,13.6,13.6,0.16,3.2,16.8,11.1,16.7,16.7,0.18,3.3,20.6,4.5,40.9,0.0,0.18,3.7,11.2,8.3,16.7,0.0,0.18,4.5
3642,2026-06-21,12.0,27.3,27.3,9.1,0.16,3.5,21.7,20.0,20.0,0.0,0.16,2.9,14.1,15.4,7.7,7.7,0.15,2.8,19.6,5.6,11.1,0.0,0.17,3.3,19.6,11.1,11.1,0.0,0.18,3.6,13.0,8.3,0.0,0.0,0.19,3.8
3647,2026-06-21,15.8,6.7,26.7,20.0,0.19,3.4,17.9,5.9,29.4,0.0,0.17,3.6,16.8,6.2,25.0,6.2,0.17,3.1,15.8,13.3,6.7,0.0,0.16,3.9,18.9,11.1,5.6,22.2,0.2,4.3,14.7,7.1,7.1,0.0,0.24,4.8
3652,2026-06-21,13.3,33.3,25.0,8.3,0.14,2.6,21.1,15.8,5.3,0.0,0.16,4.0,20.0,5.6,11.1,0.0,0.16,3.4,16.7,13.3,6.7,0.0,0.17,3.5,22.2,5.0,0.0,0.0,0.23,4.3,6.7,0.0,0.0,0.0,0.25,4.5
3653,2026-06-21,15.9,35.7,21.4,0.0,0.16,3.5,19.3,5.9,11.8,23.5,0.2,4.2,17.0,13.3,6.7,0.0,0.16,3.7,14.8,7.7,15.4,23.1,0.21,4.0,14.8,7.7,7.7,0.0,0.17,4.0,18.2,6.2,0.0,0.0,0.19,4.6
3654,2026-06-21,23.0,65.4,3.8,7.7,0.18,3.7,18.6,23.8,33.3,23.8,0.15,3.7,13.3,46.7,33.3,0.0,0.15,3.2,20.4,43.5,26.1,4.3,0.12,2.2,18.6,23.8,28.6,23.8,0.17,3.3,6.2,28.6,28.6,0.0,0.12,2.4
3656,2026-06-21,14.2,31.2,25.0,18.8,0.17,3.8,15.0,35.3,17.6,0.0,0.16,3.5,20.4,4.3,47.8,17.4,0.15,2.8,20.4,8.7,8.7,26.1,0.16,3.1,18.6,9.5,14.3,28.6,0.15,3.6,11.5,15.4,0.0,0.0,0.17,3.8
